Assembly Accession	Organism Name	Assembly Name	Assembly Level	Assembly Assembly Method	Assembly Sequencing Tech	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Release Date	Assembly Submitter	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Genome Coverage
GCA_052856725.1	Pyricularia oryzae	ASM5285672v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000547	2025-09-26	Yunnan Agricultural University	35869971	3851	23772	210116	70.12
GCA_052856755.1	Pyricularia oryzae	ASM5285675v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000546	2025-09-26	Yunnan Agricultural University	35860172	1816	66571	391494	63.37
GCA_052856775.1	Pyricularia oryzae	ASM5285677v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000545	2025-09-26	Yunnan Agricultural University	35885771	3529	29538	241339	65.02
GCA_052856795.1	Pyricularia oryzae	ASM5285679v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000542	2025-09-26	Yunnan Agricultural University	35909211	2094	45222	328412	53.74
GCA_052856835.1	Pyricularia oryzae	ASM5285683v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000541	2025-09-26	Yunnan Agricultural University	35877560	3292	28670	248101	95.99
GCA_052856855.1	Pyricularia oryzae	ASM5285685v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000539	2025-09-26	Yunnan Agricultural University	35617526	1286	71523	306080	84.73
GCA_052856875.1	Pyricularia oryzae	ASM5285687v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000540	2025-09-26	Yunnan Agricultural University	35947279	1442	71500	337745	77.28
GCA_052856935.1	Pyricularia oryzae	ASM5285693v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000537	2025-09-26	Yunnan Agricultural University	36616531	1977	85331	470970	107.54
GCA_052856955.1	Pyricularia oryzae	ASM5285695v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000538	2025-09-26	Yunnan Agricultural University	36370653	1672	98371	464992	88.06
GCA_052856975.1	Pyricularia oryzae	ASM5285697v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000536	2025-09-26	Yunnan Agricultural University	35756961	1225	64460	259286	53.18
GCA_052856995.1	Pyricularia oryzae	ASM5285699v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000535	2025-09-26	Yunnan Agricultural University	36657831	1656	143393	382272	79.94
GCA_052857025.1	Pyricularia oryzae	ASM5285702v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000534	2025-09-26	Yunnan Agricultural University	35776020	5047	19051	259767	82.93
GCA_052857045.1	Pyricularia oryzae	ASM5285704v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000533	2025-09-26	Yunnan Agricultural University	36098634	1646	68192	355975	52.65
GCA_052857065.1	Pyricularia oryzae	ASM5285706v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000532	2025-09-26	Yunnan Agricultural University	35562095	1796	57713	337928	66.34
GCA_052857105.1	Pyricularia oryzae	ASM5285710v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000530	2025-09-26	Yunnan Agricultural University	36587416	2037	91227	469949	83.21
GCA_052857125.1	Pyricularia oryzae	ASM5285712v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000531	2025-09-26	Yunnan Agricultural University	35709829	4179	22935	269961	82.26
GCA_052857165.1	Pyricularia oryzae	ASM5285716v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000525	2025-09-26	Yunnan Agricultural University	35803303	1497	88233	347664	70.31
GCA_052857295.1	Pyricularia oryzae	ASM5285729v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000529	2025-09-26	Yunnan Agricultural University	36068171	1584	89039	465592	65.66
GCA_052857335.1	Pyricularia oryzae	ASM5285733v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000528	2025-09-26	Yunnan Agricultural University	35645109	5114	17195	250596	66.76
GCA_052857355.1	Pyricularia oryzae	ASM5285735v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000527	2025-09-26	Yunnan Agricultural University	36592387	1686	163518	465008	105.17
GCA_052857415.1	Pyricularia oryzae	ASM5285741v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000526	2025-09-26	Yunnan Agricultural University	36513367	1650	141211	401798	114.99
GCA_052857435.1	Pyricularia oryzae	ASM5285743v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000524	2025-09-26	Yunnan Agricultural University	35447196	2476	35927	250133	53.38
GCA_052857455.1	Pyricularia oryzae	ASM5285745v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000523	2025-09-26	Yunnan Agricultural University	36346230	1638	128405	356503	147.95
GCA_052857475.1	Pyricularia oryzae	ASM5285747v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000522	2025-09-26	Yunnan Agricultural University	36834101	1775	159555	450787	166.32
GCA_052857495.1	Pyricularia oryzae	ASM5285749v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000521	2025-09-26	Yunnan Agricultural University	35593355	3388	27060	246795	59.84
GCA_052857515.1	Pyricularia oryzae	ASM5285751v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000520	2025-09-26	Yunnan Agricultural University	35443038	1813	69575	252685	110.35
GCA_052857555.1	Pyricularia oryzae	ASM5285755v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000519	2025-09-26	Yunnan Agricultural University	36796852	1925	153834	466977	174.29
GCA_052857575.1	Pyricularia oryzae	ASM5285757v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000518	2025-09-26	Yunnan Agricultural University	35662980	1805	74087	278484	182.56
GCA_052857595.1	Pyricularia oryzae	ASM5285759v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000517	2025-09-26	Yunnan Agricultural University	36295397	1632	127630	450646	77.18
GCA_052857635.1	Pyricularia oryzae	ASM5285763v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000516	2025-09-26	Yunnan Agricultural University	36016435	2012	56442	356098	52.02
GCA_052857675.1	Pyricularia oryzae	ASM5285767v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000515	2025-09-26	Yunnan Agricultural University	35837716	4611	20937	249832	42.98
GCA_052857695.1	Pyricularia oryzae	ASM5285769v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000513	2025-09-26	Yunnan Agricultural University	35319870	3807	23141	246788	62.73
GCA_052857715.1	Pyricularia oryzae	ASM5285771v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000512	2025-09-26	Yunnan Agricultural University	36055315	1628	130034	337730	127.8
GCA_052857735.1	Pyricularia oryzae	ASM5285773v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000511	2025-09-26	Yunnan Agricultural University	35884270	1925	70641	329033	149.29
GCA_052857755.1	Pyricularia oryzae	ASM5285775v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000510	2025-09-26	Yunnan Agricultural University	35799627	1531	100419	278981	103.82
GCA_052857775.1	Pyricularia oryzae	ASM5285777v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000509	2025-09-26	Yunnan Agricultural University	35774391	1914	73696	317728	116.73
GCA_052857795.1	Pyricularia oryzae	ASM5285779v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000508	2025-09-26	Yunnan Agricultural University	35551967	1847	66005	337623	49.73
GCA_052857815.1	Pyricularia oryzae	ASM5285781v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000507	2025-09-26	Yunnan Agricultural University	35129331	2331	40372	224074	61.47
GCA_052857855.1	Pyricularia oryzae	ASM5285785v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000505	2025-09-26	Yunnan Agricultural University	35903402	2847	33718	301190	62.19
GCA_052857895.1	Pyricularia oryzae	ASM5285789v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000506	2025-09-26	Yunnan Agricultural University	35973539	1495	69627	438530	91.51
GCA_052857915.1	Pyricularia oryzae	ASM5285791v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000504	2025-09-26	Yunnan Agricultural University	36537077	1590	146545	468649	128.62
GCA_052857965.1	Pyricularia oryzae	ASM5285796v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000502	2025-09-26	Yunnan Agricultural University	35645740	1846	75377	240760	286.31
GCA_052857985.1	Pyricularia oryzae	ASM5285798v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000498	2025-09-26	Yunnan Agricultural University	35377515	1400	56116	171302	89.49
GCA_052858005.1	Pyricularia oryzae	ASM5285800v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000497	2025-09-26	Yunnan Agricultural University	36060443	1537	130443	333753	127.33
GCA_052858025.1	Pyricularia oryzae	ASM5285802v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000495	2025-09-26	Yunnan Agricultural University	35375454	1567	110809	340594	80.75
GCA_052858045.1	Pyricularia oryzae	ASM5285804v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000496	2025-09-26	Yunnan Agricultural University	36035587	1517	96117	417735	56.55
GCA_052858065.1	Pyricularia oryzae	ASM5285806v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000494	2025-09-26	Yunnan Agricultural University	36002669	1482	66584	337866	55.47
GCA_052858085.1	Pyricularia oryzae	ASM5285808v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000493	2025-09-26	Yunnan Agricultural University	36482564	1601	134486	471662	93.02
GCA_052858105.1	Pyricularia oryzae	ASM5285810v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000492	2025-09-26	Yunnan Agricultural University	35550273	9296	10037	134970	143.69
GCA_052858125.1	Pyricularia oryzae	ASM5285812v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000488	2025-09-26	Yunnan Agricultural University	35412676	1355	60105	186301	57.38
GCA_052858155.1	Pyricularia oryzae	ASM5285815v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000487	2025-09-26	Yunnan Agricultural University	35936531	1956	75222	290305	140.56
GCA_052858175.1	Pyricularia oryzae	ASM5285817v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000603	2025-09-26	Yunnan Agricultural University	35773770	1770	62318	338004	76.77
GCA_052858235.1	Pyricularia oryzae	ASM5285823v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000605	2025-09-26	Yunnan Agricultural University	35856401	1707	63760	255674	74.01
GCA_052858255.1	Pyricularia oryzae	ASM5285825v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000600	2025-09-26	Yunnan Agricultural University	36060762	1735	64478	289931	100.42
GCA_052858265.1	Pyricularia oryzae	ASM5285826v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000599	2025-09-26	Yunnan Agricultural University	35476619	1482	50807	299646	82.17
GCA_052858315.1	Pyricularia oryzae	ASM5285831v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000598	2025-09-26	Yunnan Agricultural University	35352933	1292	61250	155152	58.14
GCA_052858335.1	Pyricularia oryzae	ASM5285833v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000597	2025-09-26	Yunnan Agricultural University	35423740	1283	58198	169133	71.43
GCA_052858355.1	Pyricularia oryzae	ASM5285835v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000586	2025-09-26	Yunnan Agricultural University	35902517	1894	51414	355843	117.87
GCA_052858375.1	Pyricularia oryzae	ASM5285837v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000596	2025-09-26	Yunnan Agricultural University	36008242	1946	65231	312617	82.21
GCA_052858395.1	Pyricularia oryzae	ASM5285839v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000595	2025-09-26	Yunnan Agricultural University	35685764	1704	55823	337825	81.67
GCA_052858415.1	Pyricularia oryzae	ASM5285841v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000594	2025-09-26	Yunnan Agricultural University	35964145	1536	71173	340788	83.52
GCA_052858455.1	Pyricularia oryzae	ASM5285845v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000592	2025-09-26	Yunnan Agricultural University	35472471	4050	21054	276513	65.75
GCA_052858475.1	Pyricularia oryzae	ASM5285847v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000591	2025-09-26	Yunnan Agricultural University	35911283	1710	61453	331101	72.01
GCA_052858515.1	Pyricularia oryzae	ASM5285851v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000589	2025-09-26	Yunnan Agricultural University	35294599	4053	18898	238890	75.29
GCA_055472255.1	Pyricularia oryzae	ASM5547225v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000561	2026-02-24	Yunnan Agricultural University	35938359	3439	27169	262046	62.76
GCA_055472275.1	Pyricularia oryzae	ASM5547227v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000556	2026-02-24	Yunnan Agricultural University	35931754	1412	72013	421122	84.66
GCA_055472295.1	Pyricularia oryzae	ASM5547229v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000555	2026-02-24	Yunnan Agricultural University	35138900	2775	28376	190776	68.78
GCA_055472325.1	Pyricularia oryzae	ASM5547232v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000544	2026-02-24	Yunnan Agricultural University	35066157	1387	52773	117202	157.61
GCA_055472335.1	Pyricularia oryzae	ASM5547233v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000514	2026-02-24	Yunnan Agricultural University	35318106	1318	56495	136281	130.01
GCA_055472375.1	Pyricularia oryzae	ASM5547237v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000503	2026-02-24	Yunnan Agricultural University	35241991	1301	54866	145456	148.59
GCA_055472395.1	Pyricularia oryzae	ASM5547239v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000501	2026-02-24	Yunnan Agricultural University	35392767	1304	61092	178827	114.79
GCA_055472415.1	Pyricularia oryzae	ASM5547241v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000500	2026-02-24	Yunnan Agricultural University	35444847	1289	58671	155692	108.09
GCA_055472435.1	Pyricularia oryzae	ASM5547243v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000499	2026-02-24	Yunnan Agricultural University	35385786	1330	61403	188292	86.34
GCA_055472455.1	Pyricularia oryzae	ASM5547245v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000491	2026-02-24	Yunnan Agricultural University	35374064	1290	62128	188410	69.85
GCA_055472475.1	Pyricularia oryzae	ASM5547247v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000490	2026-02-24	Yunnan Agricultural University	35670133	1836	52859	340657	80.45
GCA_055472495.1	Pyricularia oryzae	ASM5547249v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000489	2026-02-24	Yunnan Agricultural University	35743321	1799	57856	355551	69.27
GCA_055472515.1	Pyricularia oryzae	ASM5547251v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000604	2026-02-24	Yunnan Agricultural University	35904240	1853	55020	280364	61.46
GCA_055472535.1	Pyricularia oryzae	ASM5547253v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000602	2026-02-24	Yunnan Agricultural University	35092245	1178	98207	421020	42.42
GCA_055472555.1	Pyricularia oryzae	ASM5547255v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000601	2026-02-24	Yunnan Agricultural University	36003714	1637	68626	242699	76.3
GCA_055472575.1	Pyricularia oryzae	ASM5547257v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000588	2026-02-24	Yunnan Agricultural University	35612785	3283	26749	306725	82.46
GCA_055472595.1	Pyricularia oryzae	ASM5547259v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000593	2026-02-24	Yunnan Agricultural University	35331033	1302	57188	155823	64.91
GCA_055472615.1	Pyricularia oryzae	ASM5547261v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000590	2026-02-24	Yunnan Agricultural University	35409798	1159	71620	168961	79.27
GCA_055472635.1	Pyricularia oryzae	ASM5547263v1	Scaffold	SPAdes v. 3.13.0	Illumina HiSeq 2000	PRJNA748547	SAMN26000587	2026-02-24	Yunnan Agricultural University	35556313	1417	58388	198844	51.56
GCA_055473985.1	Pyricularia oryzae	ASM5547398v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN47133007	2026-02-24	University of Kentucky	42902109	8620	16490	45090	1.93078e+09
GCA_055689495.1	Pyricularia oryzae	ASM5568949v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804031	2026-03-05	Brazilian Agricultural Research Corporation	43612811	1903	129618	6194380	83
GCA_055689515.1	Pyricularia oryzae	ASM5568951v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804021	2026-03-05	Brazilian Agricultural Research Corporation	42933601	1205	137510	6137152	98
GCA_055689535.1	Pyricularia oryzae	ASM5568953v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804019	2026-03-05	Brazilian Agricultural Research Corporation	43256556	1195	139869	6259668	106
GCA_055689555.1	Pyricularia oryzae	ASM5568955v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804018	2026-03-05	Brazilian Agricultural Research Corporation	42954001	1854	95846	6167284	88
GCA_055689575.1	Pyricularia oryzae	ASM5568957v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804017	2026-03-05	Brazilian Agricultural Research Corporation	42912136	970	152254	6191916	87
GCA_055689595.1	Pyricularia oryzae	ASM5568959v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804024	2026-03-05	Brazilian Agricultural Research Corporation	42981609	1126	142532	6157575	85
GCA_055689605.1	Pyricularia oryzae	ASM5568960v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804023	2026-03-05	Brazilian Agricultural Research Corporation	42549565	893	134861	6218978	104
GCA_055689635.1	Pyricularia oryzae	ASM5568963v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804012	2026-03-05	Brazilian Agricultural Research Corporation	43045474	1062	150956	6235207	83
GCA_055697835.1	Pyricularia oryzae	ASM5569783v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804011	2026-03-05	Brazilian Agricultural Research Corporation	43017720	1257	113822	6291321	83
GCA_055697855.1	Pyricularia oryzae	ASM5569785v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804010	2026-03-05	Brazilian Agricultural Research Corporation	42870344	1144	133726	6265318	85
GCA_055697875.1	Pyricularia oryzae	ASM5569787v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804008	2026-03-05	Brazilian Agricultural Research Corporation	42668985	1004	126299	6124397	110
GCA_055697895.1	Pyricularia oryzae	ASM5569789v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804016	2026-03-05	Brazilian Agricultural Research Corporation	42652025	1141	118375	6151526	99
GCA_055697915.1	Pyricularia oryzae	ASM5569791v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804007	2026-03-05	Brazilian Agricultural Research Corporation	43207151	1463	135059	6221440	114
GCA_055697935.1	Pyricularia oryzae	ASM5569793v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804014	2026-03-05	Brazilian Agricultural Research Corporation	42739401	983	152202	6274490	90
GCA_055697955.1	Pyricularia oryzae	ASM5569795v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804013	2026-03-05	Brazilian Agricultural Research Corporation	42374045	975	178006	6085918	177
GCA_055697975.1	Pyricularia oryzae	ASM5569797v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804027	2026-03-05	Brazilian Agricultural Research Corporation	43286861	1542	122061	6213044	132
GCA_055697985.1	Pyricularia oryzae	ASM5569798v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804026	2026-03-05	Brazilian Agricultural Research Corporation	42923426	1668	109363	6007635	87
GCA_055774735.1	Pyricularia oryzae	ASM5577473v1	Chromosome	SPAdes v. 4.0	Illumina NovaSeq	PRJNA1197378	SAMN45804028	2026-03-05	Brazilian Agricultural Research Corporation	43977652	1734	133636	6258378	86
GCA_056506405.1	Pyricularia oryzae	ASM5650640v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN46817899	2026-04-01	University of Kentucky	41413938	9211	15696	35432	45
GCA_057381395.1	Pyricularia oryzae	ASM5738139v1	Chromosome	Hifiasm+pilon v. 0.16.0	PacBio Sequel	PRJNA895008	SAMN31488230	2026-05-11	Hebei Agricultural University	39199217	43	5592785	5592785	52
GCA_057787155.1	Pyricularia oryzae	UK_Pr88167	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN46818070	2026-05-28	University of Kentucky	41022052	7498	14007	24119	49.37
GCA_057978255.1	Pyricularia oryzae	ASM5797825v1	Scaffold	SPAdes v. 3.15.5	Illumina NovaSeq	PRJNA926786	SAMN55039460	2026-06-05	University of Kentucky	39586887	3759	56885	64111	27
GCA_059329645.1	Pyricularia oryzae	Br58v1	Complete Genome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA1435864	SAMN56458202	2026-07-13	Kansas State University	43683271	9	5985948	5985948	80
GCA_059329725.1	Pyricularia oryzae	ATCC64557v1	Complete Genome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA1435864	SAMN56458205	2026-07-13	Kansas State University	43923837	8	5691609	5691609	100
GCA_059330025.1	Pyricularia oryzae	B2v1	Complete Genome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA1435864	SAMN56501178	2026-07-13	Kansas State University	42958876	8	6311493	6311493	58
GCA_059330095.1	Pyricularia oryzae	P3v1	Chromosome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA1435864	SAMN56501177	2026-07-13	Kansas State University	44918736	14	5928839	5928839	100
GCA_059330115.1	Pyricularia oryzae	16MoT01v1	Complete Genome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA1435864	SAMN56458201	2026-07-13	Kansas State University	44285086	8	6433460	6433460	100
GCA_059330365.1	Pyricularia oryzae	NE20v1	Complete Genome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA1435864	SAMN56458204	2026-07-13	Kansas State University	44500455	8	5943893	5943893	80
GCA_059330485.1	Pyricularia oryzae	T21v1	Chromosome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA1435864	SAMN56458206	2026-07-13	Kansas State University	45125712	13	6045283	6045283	120
GCA_059330725.1	Pyricularia oryzae	T47v1	Chromosome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA1435864	SAMN56458203	2026-07-13	Kansas State University	43610337	9	6109771	6482445	120
GCA_059330735.1	Pyricularia oryzae	OKI18v1	Complete Genome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA1435864	SAMN56458200	2026-07-13	Kansas State University	43347792	7	7502585	7502585	120
GCA_059469275.1	Pyricularia oryzae	ASM5946927v1	Chromosome	METCAT v. 1.4; ARROW v. 2.1	Illumina NovaSeq; PacBio RSII	PRJNA1279063	SAMN49375469	2026-07-16	University of Georgia	44456732	33	5806171	6127106	235
GCA_059792175.1	Pyricularia oryzae	ASM5979217v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN46818389	2026-08-04	University of Kentucky	40945767	5440	24739	82007	48.1182
GCA_059792635.1	Pyricularia oryzae	UK_Bm88503	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN46817651	2026-08-04	University of Kentucky	40866535	4842	21068	108656	54.66
GCA_059801055.1	Pyricularia oryzae	ASM5980105v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN46711227	2026-08-04	University of Kentucky	40941955	6603	21572	212275	0.185768
GCA_060309365.1	Pyricularia oryzae	ASM6030936v1	Scaffold	Velvet v. 1.2.10	Illumina NovaSeq	PRJNA926786	SAMN46924042	2026-08-21	University of Kentucky	40817568	4573	24013	113184	46.5
GCA_900474175.3	Pyricularia oryzae	US71_genome_polished_no_mito	Contig	pilon 1.22	Oxford Nanopore	PRJEB27137	SAMEA4708259	2020-01-16	THE SAINSBURY LABORATORY	45580691	55	2812411	2812411	97
