accession	organism_name	strain	tax_id	assembly_level	assembly_status	release_date	submitter	refseq_category	sequencing_tech_raw	tech_category	biosample_accession	host	isolation_source	geo_loc_name	collection_date	total_sequence_length	total_ungapped_length	number_of_contigs	contig_n50	contig_l50	number_of_scaffolds	scaffold_n50	scaffold_l50	total_number_of_chromosomes	gc_percent	assembly_name	is_t2t_flagged	is_gapless_chromosome_level
GCA_003016325.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050106	Oryza sativa	not collected	China: Jiangxi	2009	37601888	37429932	2697	63126	168	1589	116871	95		52	ASM301632v1	False	False
GCA_905109135.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104365380					38140674	38137580	3499	62694	165	3260	93389	114		51	Assembly of M.oryzae isolate BTAR_A1 genome	False	False
GCA_052856065.1	Pyricularia oryzae	YN673	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000576	Oryza sativa		China: Yunnan	2008-09-24	36258741	36045393	1941	62617	171	615	464693	26		52	ASM5285606v1	False	False
GCA_003016025.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050099	Oryza sativa	not collected	China: Hubei	2009	38180528	38002209	2878	62415	166	1601	113961	89		51.5	ASM301602v1	False	False
GCA_052858175.1	Pyricularia oryzae	T-3	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000603	Oryza sativa		Thailand	not collected	35773770	35600181	1770	62318	173	514	338004	29		52	ASM5285817v1	False	False
GCA_002925225.1	Pyricularia oryzae	FH	318829	Contig	current	2018-02-08	International Wheat Blast Consortium		Roche 454	short-read	SAMN08009551	Lolium perenne		USA: Hagerstown, MD	1997	42932243	42932243	2071	61997	207	2071	61997	207		50	ASM292522v1	False	False
GCA_003015755.1	Pyricularia oryzae	FJ2006-60A3	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050079	Oryza sativa	not collected	China: Fujian	2006	37702447	37570365	2863	61922	178	1729	103395	95		51.5	ASM301575v1	False	False
GCA_003016185.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050096	Oryza sativa	not collected	China: Guangdong	2006	37400436	37391374	2081	61919	173	1923	62944	169		52	ASM301618v1	False	False
GCA_003015625.1	Pyricularia oryzae	FJ12JN-084-3	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050072	Oryza sativa	not collected	China: Fujian	2013	37283658	37158139	2433	61728	166	1537	103798	97		52	ASM301562v1	False	False
GCA_003015745.1	Pyricularia oryzae	FJ2005113B	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050078	Oryza sativa	not collected	China: Fujian	2005	38539643	38403326	2861	61579	160	1702	116992	80		51.5	ASM301574v1	False	False
GCA_003015885.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050084	Oryza sativa	not collected	China: Fujian	1981	38644746	38582383	2621	61523	171	1972	81077	132		51.5	ASM301588v1	False	False
GCA_052858475.1	Pyricularia oryzae	H-2	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000591	Oryza sativa		China: Henan	2013-08-22	35911283	35742754	1710	61453	180	521	331101	30		52	ASM5285847v1	False	False
GCA_003015835.1	Pyricularia oryzae	FJ78-JJ	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050082	Oryza sativa	not collected	China: Fujian	1978	38453552	38396781	2365	61437	187	1757	72356	143		51.5	ASM301583v1	False	False
GCA_003015735.1	Pyricularia oryzae	FJ2003-001A1	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050077	Oryza sativa	not collected	China: Fujian	2003	38081667	37902818	2916	61366	186	1675	110023	96		52	ASM301573v1	False	False
GCA_052856355.1	Pyricularia oryzae	YN626	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000566	Oryza sativa		China: Yunnan	2011-08-12	35806712	35616775	1878	61338	171	577	355899	26		52	ASM5285635v1	False	False
GCA_052858315.1	Pyricularia oryzae	P06-6	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000598	Oryza sativa		Philippines	not collected	35352933	35205740	1292	61250	171	598	155152	59		52	ASM5285831v1	False	False
GCA_003015635.1	Pyricularia oryzae	FJ13SH05-2	318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050073	Oryza sativa	not collected	China: Fujian	2013	37752038	37617496	2912	61118	181	1746	98022	99		52	ASM301563v1	False	False
GCA_052856145.1	Pyricularia oryzae	YN661	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000574	Oryza sativa		China: Yunnan	2007-10-08	35735816	35552167	1733	61117	171	537	340066	31		52	ASM5285614v1	False	False
GCA_012922935.1	Pyricularia oryzae	2539	318829	Scaffold	current	2020-04-28	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN11866126	rice		not collected	not collected	38083458	37921166	2701	60992	190	1391	107099	92		51.5	ASM1292293v1	False	False
GCA_052858125.1	Pyricularia oryzae	YN027	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000488	Oryza sativa		China: Yunnan	2011-08-12	35412676	35251066	1355	60105	172	596	186301	53		52	ASM5285812v1	False	False
GCA_052856695.1	Pyricularia oryzae	YN468	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000549	Oryza sativa		China: Yunnan	1996-10-12	35794952	35641419	1438	59431	175	542	309832	31		52	ASM5285669v1	False	False
GCA_003016935.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050125	Oryza sativa	not collected	China: Taiwan	2012	38461384	38174189	3874	59424	182	2175	106764	100		52	ASM301693v1	False	False
GCA_024704315.1	Pyricularia oryzae	T5	318829	Contig	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN12143019	Eleucine coracana	neck blast	Tanzania: Nbozi	2016	42254231	42254231	1367	59266	208	1367	59266	208		50	ASM2470431v1	False	False
GCA_024704505.1	Pyricularia oryzae	K48/115n	318829	Contig	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN12143012	Eleucine coracana	neck blast	Kenya: Kisii	2002	41132665	41132665	1471	58809	194	1471	58809	194		50.5	ASM2470450v1	False	False
GCA_052856615.1	Pyricularia oryzae	YN480	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000552	Oryza sativa		China: Yunnan	2011-08-12	36464694	36226764	2096	58211	178	578	340504	31		52	ASM5285661v1	False	False
GCA_052858335.1	Pyricularia oryzae	L-2	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000597	Oryza sativa		China: Liaoning	2014-09-20	35423740	35274720	1283	58198	170	596	169133	57		52	ASM5285833v1	False	False
GCA_024704335.1	Pyricularia oryzae	T17	318829	Contig	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN12143018	Eleucine coracana	neck blast	Tanzania: Madaba	2016	41548171	41548171	1367	58114	219	1367	58114	219		50	ASM2470433v1	False	False
GCA_012654135.1	Pyricularia oryzae	Cd88215	318829	Scaffold	current	2020-04-22	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN14167123			not applicable	not applicable	36783302	36541469	3178	58039	174	2629	82256	129		51.5	ASM1265413v1	False	False
GCA_052857065.1	Pyricularia oryzae	YN390	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000532	Oryza sativa		China: Yunnan	1996-10-11	35562095	35370034	1796	57713	173	516	337928	29		52	ASM5285706v1	False	False
GCA_024704695.1	Pyricularia oryzae	E17	318829	Contig	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN12143005	Eleucine coracana	neck blast	Ethiopia: Angebo	2016	41957450	41957450	1586	57318	212	1586	57318	212		50	ASM2470469v1	False	False
GCA_003016785.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050114	Oryza sativa	not collected	Suriname: Nickerie	2013	38990986	38763159	3380	57130	188	1807	114978	93		51.5	ASM301678v1	False	False
GCA_001548785.1	Pyricularia oryzae	EI9604	318829	Scaffold	current	2016-02-04	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN04318448	Eleusine indica	not collected	China: Zhejiang	1996	41601338	41424407	2856	57102	212	1346	100075	116		50.5	EI9604	False	False
GCA_905109925.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190823					46707658	46701037	2347	56895	195	1692	114140	93		52	Assembly of M.oryzae isolate BTTrp_5 genome	False	False
GCA_057978255.1	Pyricularia oryzae		318829	Scaffold	current	2026-06-05	University of Kentucky		Illumina NovaSeq	short-read	SAMN55039460	Festuca sp.		Costa Rica	1991	39586887	39580387	3759	56885	197	3613	64111	170		51	ASM5797825v1	False	False
GCA_052857635.1	Pyricularia oryzae	YN226	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000516	Oryza sativa		China: Yunnan	2008-09-24	36016435	35809302	2012	56442	188	593	356098	27		52	ASM5285763v1	False	False
GCA_052857985.1	Pyricularia oryzae	YN098	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000498	Oryza sativa		China: Yunnan	2007-10-08	35377515	35190655	1400	56116	178	633	171302	59		52	ASM5285798v1	False	False
GCA_052858395.1	Pyricularia oryzae	Hu-1	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000595	Oryza sativa		China: Hunan	2014-06-20	35685764	35526000	1704	55823	190	500	337825	29		52	ASM5285839v1	False	False
GCA_031212055.1	Pyricularia oryzae	T6	318829	Contig	current	2023-09-07	University of Kentucky		Illumina NovaSeq	short-read	SAMN33018055	Triticum aestivum		Brazil	1988	42058027	42058027	2590	55184	229	2590	55184	229		50	ASM3121205v1	False	False
GCA_024704575.1	Pyricularia oryzae	D15/s47	318829	Contig	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN12143010	Eleucine coracana	neck blast	Uganda: Soroti	2002	41704176	41704176	1493	53543	235	1493	53543	235		50	ASM2470457v1	False	False
GCA_024704605.1	Pyricularia oryzae	K38	318829	Contig	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN12143009	Eleucine coracana	neck blast	Kenya: Kisii	2017	41388510	41388510	1401	53440	227	1401	53440	227		50	ASM2470460v1	False	False
GCA_052855805.1	Pyricularia oryzae	Z-2	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000585	Oryza sativa		China: Zhejiang	2011-07-01	35749546	35592467	1804	53121	198	528	392306	27		52	ASM5285580v1	False	False
GCA_003015925.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050088	Oryza sativa	not collected	China: Fujian	1986	38383550	38280141	2938	53108	211	1894	85748	119		51.5	ASM301592v1	False	False
GCA_024704685.1	Pyricularia oryzae	D1/s11	318829	Contig	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN12143006	Eleucine coracana	neck blast	Uganda: Pallisa	2000	41747166	41747166	1478	52230	235	1478	52230	235		50	ASM2470468v1	False	False
GCA_024704305.1	Pyricularia oryzae	T12	318829	Contig	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN12143020	Eleucine coracana	neck blast	Tanzania: Sumbawanga	2016	41553633	41553633	1705	52099	245	1705	52099	245		50	ASM2470430v1	False	False
GCA_024704655.1	Pyricularia oryzae	D8/s15	318829	Contig	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN12143007	Eleucine coracana	panicle	Uganda: Busia	2000	41579359	41579359	1544	52067	246	1544	52067	246		50	ASM2470465v1	False	False
GCA_905186795.1	Pyricularia oryzae		318829	Scaffold	current	2021-02-02	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190822					43677391	43666841	2788	51968	250	1852	108438	122		50	Assembly of M.oryzae isolate BTMP_S_13_2 genome	False	False
GCA_052858355.1	Pyricularia oryzae	l-1	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000586	Oryza sativa		China: Liaoning	2014-09-20	35902517	35732500	1894	51414	208	532	355843	30		52	ASM5285835v1	False	False
GCA_905109245.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190819					43632753	43622261	2709	51283	263	1799	95064	139		50	Assembly of M.oryzae isolate BTJP4_16 genome	False	False
GCA_052856125.1	Pyricularia oryzae	YN657	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000573	Oryza sativa		China: Yunnan	2011-08-12	35526430	35363601	1871	50930	212	510	337776	28		52	ASM5285612v1	False	False
GCA_052858265.1	Pyricularia oryzae	R01-1	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000599	Oryza sativa		South Korea	not collected	35476619	35343453	1482	50807	205	545	299646	33		52	ASM5285826v1	False	False
GCA_001548775.1	Pyricularia oryzae	EI9411	318829	Scaffold	current	2016-02-04	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN04318447	Eleusine indica	not collected	China: Fujian	1994	40306145	40147576	3088	50072	246	1661	81416	137		51	EI9411	False	False
GCA_905109095.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190818					43632231	43621044	2710	49946	258	1741	110022	110		50	Assembly of M.oryzae isolate BTJP4_12 genome	False	False
GCA_003016095.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050085	Oryza sativa	not collected	China: Fujian	1981	38536878	38444519	2889	49242	233	1894	81916	125		51.5	ASM301609v1	False	False
GCA_003015895.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050086	Oryza sativa	not collected	China: Fujian	1981	37960040	37872019	2563	49212	225	1638	84041	129		51.5	ASM301589v1	False	False
GCA_905109785.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190814					43673126	43662105	2910	47026	266	1943	92411	140		50	Assembly of M.oryzae isolate BTJP4_3 genome	False	False
GCA_905114825.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190812					43657328	43646091	2756	46178	268	1738	105122	124		50	Assembly of M.oryzae isolate BTGP_6_h genome	False	False
GCA_052055085.1	Pyricularia oryzae	UFVPY185	318829	Contig	current	2025-08-15	University of Kentucky		Illumina NovaSeq	short-read	SAMN47132510	Melinis repens		Brazil: Minas Gerais	2019	43958104	43958104	4161	45817	282	4161	45817	282		49.5	ASM5205508v1	False	False
GCA_052856795.1	Pyricularia oryzae	YN442	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000542	Oryza sativa		China: Yunnan	2008-09-24	35909211	35677321	2094	45222	226	547	328412	32		52	ASM5285679v1	False	False
GCA_024704485.1	Pyricularia oryzae	K5	318829	Contig	current	2022-08-16	University of Bedfordshire		Illumina HiSeq	short-read	SAMN12143013	Eleucine coracana	neck blast	Kenya: Kisumu	2016	42785286	42785286	1793	45195	279	1793	45195	279		50	ASM2470448v1	False	False
GCA_905109085.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190809					43645146	43633007	2855	44845	288	1744	107077	121		50	Assembly of M.oryzae isolate BTGP1_b genome	False	False
GCA_905109105.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190817					43630244	43618283	2934	44738	293	1876	91549	146		50	Assembly of M.oryzae isolate BTJP4_11 genome	False	False
GCA_002925405.1	Pyricularia oryzae	Bd8401	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN08009543	Urochloa distachya		Philippines	1984	41268497	40509499	4334	44687	277	2898	204898	56		50.5	ASM292540v1	False	False
GCA_905109745.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190816					43645672	43634643	2895	44650	293	1843	90777	142		50	Assembly of M.oryzae isolate BTJP4_6 genome	False	False
GCA_002925385.1	Pyricularia oryzae	Bm88324	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN08009544	Urochloa mutica		Philippines	1988	41379149	40625745	3202	44635	263	1731	267242	43		50.5	ASM292538v1	False	False
GCA_002925105.1	Pyricularia oryzae	HO	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN08009558	Lolium perenne		USA: Richmond, PA	1996	42976410	42409960	3250	44301	290	1736	123633	84		50	ASM292510v1	False	False
GCA_002924835.1	Pyricularia oryzae	PL2-1	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN08009571	Lolium multiflorum		USA: Pulaski Co., KY	2002	42551776	41805354	2348	43723	275	811	141200	79		50.5	ASM292483v1	False	False
GCA_002924985.1	Pyricularia oryzae	IE1K	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN08009563	Oryza sativa		USA: AR	2003	39600734	39196554	2862	43248	258	1711	127734	79		51	ASM292498v1	False	False
GCA_905109485.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190820					43394295	43382805	2282	43126	299	1156	98888	131		50	Assembly of M.oryzae isolate BTJP4_18 genome	False	False
GCA_003016385.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050111	Oryza sativa	not collected	Suriname: Nickerie	2014	39115722	38997640	3418	42494	264	2154	67305	158		51.5	ASM301638v1	False	False
GCA_905109825.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190811					43643196	43631274	2823	42184	293	1725	98580	129		50	Assembly of M.oryzae isolate BTGP_6_g genome	False	False
GCA_002925345.1	Pyricularia oryzae	Br80	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN08009546	Triticum aestivum		Brazil	1991	42474840	41967379	2344	41793	295	1035	134171	78		50	ASM292534v1	False	False
GCA_905114805.1	Pyricularia oryzae		318829	Scaffold	current	2020-12-16	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190808					43622001	43609193	2740	41517	299	1548	115705	110		50	Assembly of M.oryzae isolate BTGP_6_e genome	False	False
GCA_905125175.1	Pyricularia oryzae		318829	Scaffold	current	2020-12-16	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190813					43392441	43380186	2269	41442	294	1100	109624	117		50	Assembly of M.oryzae isolate BTJP_4_1 genome	False	False
GCA_905186785.1	Pyricularia oryzae		318829	Scaffold	current	2021-02-02	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190815					43437982	43425475	2395	41348	309	1244	90380	142		50	Assembly of M.oryzae isolate BTJP4_5 genome	False	False
GCA_003016725.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050112	Oryza sativa	not collected	Suriname: Nickerie	2014	39160722	39041562	3322	40868	271	2037	69790	146		51.5	ASM301672v1	False	False
GCA_002924915.1	Pyricularia oryzae	P29	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN08009567	Bromus tectorum		Paraguay	2014	43265743	42632707	3019	40682	308	1468	232896	52		50	ASM292491v1	False	False
GCA_033035085.1	Pyricularia oryzae	Po221	318829	Scaffold	current	2023-10-25	University of Kentucky		Illumina MiniSeq	short-read	SAMN14153273			not applicable	not applicable	43244095	42732445	4529	40598	283	3414	105804	114		50	ASM3303508v1	False	False
GCA_002925045.1	Pyricularia oryzae	IB49	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN08009561	Oryza sativa		USA: AR	1992	39439879	38981343	2782	40577	285	1648	93401	112		51.5	ASM292504v1	False	False
GCA_905109115.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190806					43399635	43387146	2347	40471	309	1125	101720	129		50	Assembly of M.oryzae isolate BTBaB1 genome	False	False
GCA_905114815.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190810					43418197	43405926	2299	40470	298	1099	104430	128		50	Assembly of M.oryzae isolate BTGP_6_f genome	False	False
GCA_905109815.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190821					43268406	43255583	2281	40447	306	1093	99038	136		50	Assembly of M.oryzae isolate BTMP_S13_1 genome	False	False
GCA_052857815.1	Pyricularia oryzae	YN157	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000507	Oryza sativa		China: Yunnan	1997-09-20	35129331	34842057	2331	40372	250	625	224074	43		52	ASM5285781v1	False	False
GCA_002924965.1	Pyricularia oryzae	ML33	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN08009565	Oryza sativa		Mali	1995	39491748	39026968	4633	40205	293	3431	84247	119		51	ASM292496v1	False	False
GCA_905109125.1	Pyricularia oryzae		318829	Scaffold	current	2020-11-22	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA104190807					43755255	43742648	3241	39417	314	2151	91759	140		50	Assembly of M.oryzae isolate BTBa_2 genome	False	False
GCA_002924945.1	Pyricularia oryzae	P28	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN08009566	Bromus tectorum		Paraguay	2014	43574967	42849495	3409	39103	326	1657	218204	47		50	ASM292494v1	False	False
GCA_017589575.1	Pyricularia oryzae	FPH-2015-44	318829	Scaffold	current	2021-03-26	International Wheat Blast Consortium		Illumina MiniSeq	short-read	SAMN14144145			not applicable	not applicable	40752054	40283104	4377	38952	302	3312	81573	146		51	ASM1758957v1	False	False
GCA_003016165.1	Pyricularia oryzae		318829	Scaffold	current	2018-03-26	Fujian Agriculture and Forestry University		Illumina HiSeq	short-read	SAMN06050093	Oryza sativa	not collected	China: Fujian	1999	37502973	37343589	3351	38840	279	1646	91606	117		52	ASM301616v1	False	False
GCA_002925085.1	Pyricularia oryzae	IA1	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN08009559	Oryza sativa		USA: AR	2009	39422808	38973126	3400	38728	300	2230	83221	127		51.5	ASM292508v1	False	False
GCA_052856105.1	Pyricularia oryzae	YN670	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000575	Oryza sativa		China: Yunnan	2008-09-24	35140262	34908137	2518	37359	282	595	278737	38		52	ASM5285610v1	False	False
GCA_905114695.1	Pyricularia oryzae		318829	Contig	current	2020-12-15	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA4753531					40616342	40616342	5858	37274	312	5858	37274	312		51	Assembly of M.oryzae isolate KE473 genome	False	False
GCA_002924875.1	Pyricularia oryzae	Pg1213-22	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN08009569	Lolium arundinaceum		USA: GA	1999/2000	42076864	41523690	3423	37140	328	1913	96476	118		50.5	ASM292487v1	False	False
GCA_013423165.1	Pyricularia oryzae	Pr8202	318829	Scaffold	current	2020-07-17	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN14603774			not applicable	not applicable	39295922	38660263	3944	36957	297	2678	105402	104		51.5	ASM1342316v1	False	False
GCA_002924975.1	Pyricularia oryzae	LpKY97	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Roche 454	short-read	SAMN08009564	Lolium perenne		USA: Lexington, KY	1997	42913937	41696831	3790	36713	324	1340	940778	13		50.5	ASM292497v1	False	False
GCA_905114675.1	Pyricularia oryzae		318829	Contig	current	2020-12-15	UNIVERSITY OF EXETER		Illumina HiSeq 2500	short-read	SAMEA4753530					40885158	40885158	6077	36419	315	6077	36419	315		51	Assembly of M.oryzae isolate KE443 genome	False	False
GCA_001675625.1	Pyricularia oryzae	B71	318829	Scaffold	current	2016-06-23	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN04942725	Triticum aestivum	wheat head	Bolivia: Okinawa Uno	2012-03-09	43625833	43240779	3475	36282	361	1787	181209	69		50	ASM167562v1	False	False
GCA_052857435.1	Pyricularia oryzae	YN311	318829	Scaffold	current	2025-09-26	Yunnan Agricultural University		Illumina HiSeq 2000	short-read	SAMN26000524	Oryza sativa		China: Yunnan	1995-09-16	35447196	35116915	2476	35927	287	631	250133	37		52	ASM5285743v1	False	False
GCA_002925025.1	Pyricularia oryzae	IC17	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN08009562	Oryza sativa		USA: AR	1992	39534872	39083041	3207	35806	314	1981	87169	117		51	ASM292502v1	False	False
GCA_002925155.1	Pyricularia oryzae	GG11	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN08009555	Lolium perenne		USA: Lexington, KY	1997	42564503	41635920	3366	35228	340	1462	114865	97		50.5	ASM292515v1	False	False
GCA_012978435.1	Pyricularia oryzae	Br35	318829	Scaffold	current	2020-05-06	International Wheat Blast Consortium		Illumina MiniSeq	short-read	SAMN14144141			not applicable	not applicable	39247142	38555329	2510	35129	316	1134	140086	84		51.5	ASM1297843v1	False	False
GCA_002925065.1	Pyricularia oryzae	IB33	318829	Scaffold	current	2018-02-08	International Wheat Blast Consortium		Illumina MiSeq	short-read	SAMN08009560	Oryza sativa		USA: TX	missing	40238383	39786552	3978	35082	325	2752	85442	121		51	ASM292506v1	False	False
